4.9,47,30,4,0,2023-04-09T04:36:32.808Z
21,47,35,3,0,2023-04-09T05:00:31.054Z
28,57,33,2,0,2023-04-09T05:30:28.752Z
14,46,38,5,0,2023-04-09T06:00:30.425Z
37,42,36,3,1,2023-04-09T06:30:29.233Z
38,54,32,3,0,2023-04-09T07:00:32.003Z
90,24,80,29,0,2023-04-09T07:30:35.733Z
12,51,34,2,0,2023-04-09T08:00:28.948Z
32,60,56,21,1,2023-04-09T08:30:37.431Z
35,53,34,2,0,2023-04-09T09:00:28.250Z
20,34,31,3,0,2023-04-09T09:30:32.010Z
12,23,36,3,1,2023-04-09T10:00:30.756Z
27,42,29,3,0,2023-04-09T10:30:28.306Z
17,31,33,3,0,2023-04-09T11:30:34.197Z
65,39,31,2,0,2023-04-09T12:00:31.248Z
39,35,31,1,0,2023-04-09T12:30:32.518Z
22,46,33,3,0,2023-04-09T13:00:34.267Z
22,32,32,2,0,2023-04-09T13:30:37.250Z
4.9,35,41,9,0,2023-04-09T14:00:29.539Z
37,45,31,2,0,2023-04-09T14:30:29.305Z
56,25,110,29,3,2023-04-09T15:00:35.649Z
15,47,137,29,0,2023-04-09T15:30:31.605Z
5.7,25,33,2,0,2023-04-09T16:00:29.530Z
11,21,96,28,0,2023-04-09T16:30:31.857Z
77,32,32,3,0,2023-04-09T17:00:32.136Z
46,20,35,1,0,2023-04-09T17:30:32.769Z
14,49,35,2,0,2023-04-09T18:00:32.604Z
9.7,28,29,4,0,2023-04-09T18:30:30.322Z
9,28,33,1,0,2023-04-09T19:00:34.363Z
37,34,68,28,0,2023-04-09T19:30:38.962Z
65,30,61,29,0,2023-04-09T20:00:36.411Z
18,19,92,30,0,2023-04-09T20:30:36.161Z
6.6,34,54,28,1,2023-04-09T21:00:36.637Z
14,16,119,28,3,2023-04-09T21:30:35.155Z
4.8,8.2,145,30,6,2023-04-09T22:00:33.177Z
6.5,9.7,34,3,1,2023-04-09T23:00:32.631Z
15,13,88,29,1,2023-04-09T23:30:37.059Z
3.8,17,78,29,3,2023-04-10T00:30:35.788Z
5.1,21,102,30,4,2023-04-10T01:00:36.558Z
6.2,20,35,4,2,2023-04-10T01:30:31.040Z
4,21,81,29,7,2023-04-10T02:00:37.212Z
7.3,19,125,29,0,2023-04-11T01:30:33.072Z
7.3,24,69,28,0,2023-04-11T02:00:38.736Z
7.1,30,134,30,4,2023-04-11T02:30:36.123Z
10,37,78,29,0,2023-04-11T03:00:35.558Z
9.1,20,79,29,0,2023-04-11T03:30:34.743Z
12,26,84,29,0,2023-04-11T04:00:34.215Z
21,31,101,29,0,2023-04-11T04:30:42.041Z
8.2,19,92,29,0,2023-04-11T05:00:33.631Z
13,17,66,27,0,2023-04-11T05:30:37.703Z
14,20,110,29,0,2023-04-11T06:00:34.339Z
132,23,32,2,0,2023-04-11T06:30:33.587Z
15,20,121,30,4,2023-04-11T07:30:31.067Z
9.1,20,32,2,7,2023-04-11T08:00:28.451Z
12,46,95,29,0,2023-04-11T08:30:34.818Z
6.9,12,44,22,0,2023-04-11T09:00:30.450Z
8.6,16,126,29,0,2023-04-11T09:30:30.574Z
7.4,22,75,29,0,2023-04-11T10:00:34.470Z
11,26,43,13,0,2023-04-11T10:30:38.435Z
6.7,15,29,2,0,2023-04-11T11:00:29.618Z
7.6,27,34,1,0,2023-04-11T11:30:28.549Z
114,24,28,1,0,2023-04-11T12:00:31.422Z
149,25,32,2,0,2023-04-11T12:30:33.862Z
8.2,19,122,29,0,2023-04-11T13:00:31.842Z
6.8,17,88,29,0,2023-04-11T13:30:33.694Z
8.9,43,116,30,1,2023-04-11T14:00:32.253Z
8.5,17,63,28,4,2023-04-11T14:30:35.831Z
36,32,76,28,0,2023-04-11T15:00:31.334Z
178,21,121,29,0,2023-04-11T15:30:35.193Z
86,28,26,1,0,2023-04-11T16:00:29.225Z
7.5,22,105,29,0,2023-04-11T16:30:32.479Z
10,15,94,29,0,2023-04-11T17:00:32.599Z
123,21,30,2,0,2023-04-11T17:30:30.528Z
7,21,69,29,1,2023-04-11T18:00:31.287Z
7.4,21,106,29,0,2023-04-11T18:30:29.892Z
12,45,29,2,0,2023-04-11T19:00:30.749Z
169,48,28,2,0,2023-04-11T19:30:33.221Z
7.1,42,33,2,0,2023-04-11T20:00:31.081Z
7.5,17,75,29,0,2023-04-11T20:30:35.016Z
8.3,21,135,30,7,2023-04-11T21:00:31.944Z
7.8,21,118,29,7,2023-04-11T21:30:32.582Z
7.5,20,121,29,3,2023-04-11T22:00:37.914Z
9.4,17,34,2,0,2023-04-11T22:30:32.006Z
182,40,29,2,0,2023-04-11T23:00:29.138Z
124,39,136,30,3,2023-04-11T23:30:31.801Z
8.1,21,122,29,0,2023-04-12T00:00:34.689Z
90,9.9,174,30,0,2023-04-12T00:30:40.025Z
76,26,35,2,0,2023-04-12T02:00:30.705Z
10,50,35,2,0,2023-04-12T02:30:31.984Z
159,43,31,3,0,2023-04-12T04:30:29.530Z
175,44,33,2,0,2023-04-12T05:00:29.795Z
159,41,29,1,0,2023-04-12T05:30:30.212Z
154,55,29,2,0,2023-04-12T06:00:29.527Z
139,49,33,2,0,2023-04-12T06:30:29.751Z
104,48,29,1,0,2023-04-12T07:01:25.558Z
77,35,63,4,0,2023-04-13T02:00:30.785Z
